,Cell_ID,Age,Development,BrainArea,CellTarget,CellType,CellLayer,RMP,Rin,Tau,Rheobase,AP_Threshold,AP_Height,AP_HalfWidth,AP_AHP,MaxFiringFrequency,AdaptationIndex,VoltageSag
37,SA131.2,12,P9-P13,S1BF,Pyramidal,Pyr,4,-66.54544888844852,413.7162280357974,0.029135893241655303,19.69126213592233,-34.24072265625,78.033447265625,0.0019499999999998963,9.58251953125,24.0,1.2597444089456868,6.166778564453125
38,SA131.3,12,P9-P13,S1BF,LHX6,SST,4,-61.39969963238082,262.7934123861039,0.019242512949782926,14.339805825242712,-43.88427734375,90.240478515625,0.0013999999999998458,11.383056640625,40.0,1.3510815307820299,3.118743896484375
39,SA131.4,12,P9-P13,S1BF,LHX6,PV,4,-61.69788308043451,114.558370391741,-1.272193606415384,124.84151283205759,-31.8603515625,64.971923828125,0.0010999999999998789,20.538330078125,60.0,1.266441821247892,10.190338134765625
40,SA132.2,8,P5-P8,V1,Pyramidal,Pyr,4,-65.75460408528646,947.3304702296394,0.10056559623453896,26.009433962264165,-32.440185546875,59.75341796875,0.003249999999999975,9.796142578125,20.0,1.1944971537001898,0.2445068359375
41,SA133.1,17,P14-P18,S1BF,LHX6,SST,5,-59.70030920537928,194.4578657671176,0.008897631777617883,31.50551876379695,-47.2412109375,78.094482421875,0.0012000000000000899,12.939453125,46.0,3.046228710462287,3.936767578125
42,SA133.2,17,P14-P18,S1BF,LHX6,PV,4,-66.90387112827744,167.3414346581898,-0.8425614891816956,146.11764705882354,-65.97900390625,90.789794921875,0.0015000000000000568,-15.0146484375,70.0,1.0133982947624847,2.557952880859375
43,SA133.3,17,P14-P18,S1BF,LHX6,PV,4,-64.66235992749684,88.56063889983496,0.012927910757528966,281.00000000000006,-62.347412109375,85.14404296875,0.0018500000000001293,-20.44677734375,38.0,1.120879120879121,4.45263671875
44,SA133.5,17,P14-P18,S1BF,Pyramidal,Pyr,4,-78.0471398320335,207.98112177305734,0.02032658450214109,36.99999999999995,-29.541015625,64.666748046875,0.002449999999999841,4.730224609375,16.0,3.77845220030349,1.52734375
45,SA134.1,7,P5-P8,S1BF,SSTCre,SST,5,-55.26152343750001,910.2598987926131,0.10164791342372147,6.6666666666666625,-39.398193359375,69.7021484375,0.0032000000000000917,14.83154296875,28.0,1.1003552397868561,0.60205078125
46,SA134.2,7,P5-P8,S1BF,SSTCre,SST,5,-65.92716471354166,636.7400198271782,0.06452442628894499,10.0,-49.652099609375,80.230712890625,0.0024999999999999467,9.857177734375,38.0,1.184775536759922,3.676300048828125
