,Cell_ID,Age,Development,BrainArea,CellTarget,CellType,CellLayer,RMP,Rin,Tau,Rheobase,AP_Threshold,AP_Height,AP_HalfWidth,AP_AHP,MaxFiringFrequency,AdaptationIndex,VoltageSag,IntrinsicProfile,
110,OLL23.3,8,P5-P8,V1,LHX6,PV,4,-66.72185669,1918.306885,0.116482016,5,-35.64453125,43.64013672,0.00255,19.86694336,34,1.201331115,5.924530029,FS,
111,OLL23.4,8,P5-P8,V1,Pyramidal,Pyr,4,-58.11733398,1830.134277,0.490166079,15,-33.99658203,43.60961914,0.0035,9.979248047,14,1.849966056,1.03225708,RS,
112,OLL24.1,8,P5-P8,V1,LHX6,PV,4,-64.12390442,752.0062256,0.087462984,10,-45.34912109,59.47875977,0.0025,15.99121094,42,0.880769231,0.468658447,FS,
113,OLL24.2,8,P5-P8,V1,Pyramidal,Pyr,4,-58.63233439,10.71777344,0.048458347,56,-35.79711914,51.11694336,0.00325,7.690429688,2,,0.698699951,RS,
114,OLL24.3,8,P5-P8,V1,Pyramidal,Pyr,4,-53.58498535,2086.779785,0.259313133,5,-34.69848633,49.07226563,0.00375,2.014160156,14,1.251672241,0.246154785,RS,
115,OLL24.4,8,P5-P8,V1,LHX6,PV,4,-69.54755249,1789.60083,0.138379967,11,-38.02490234,47.51586914,0.0025,18.70727539,42,1.203883495,1.041137695,FS,
116,OLL25.1,18,P14-P18,V1,Pyramidal,Pyr,23,-68.909316,548.388265,0.704856909,25,-42.23632813,71.9909668,0.0025,10.13183594,18,1.230815348,0.882263184,RS,
117,OLL25.2,18,P14-P18,V1,Pyramidal,Pyr,4,-81.3925714,398.6618567,0.091012866,9.388349515,-34.63745117,74.34082031,0.002,13.24462891,32,1.439911797,1.595336914,RS,
118,OLL25.3,18,P14-P18,V1,Pyramidal,Pyr,5,-60.1643517,152.5656489,0.491594776,20,-45.53222656,88.47045898,0.00155,4.730224609,26,1.612102405,8.225219727,Bursting_Ih_ReboundBursting,X
119,OLL26.1,18,P14-P18,V1,Pyramidal,Pyr,6,-77.1841376,162.3905668,0.022966142,187.9159802,-38.51318359,52.36816406,0.0018,10.40649414,14,1.869971936,2.588378906,RS_stuterring,
120,OLL26.2,18,P14-P18,V1,Pyramidal,Pyr,4,-77.92022402,296.4653176,0.063171724,9.491262136,-38.42163086,71.0144043,0.0019,12.32910156,36,1.048376408,2.87411499,RS,
121,OLL26.3,18,P14-P18,V1,Pyramidal,Pyr,23,-85.21287825,212.6763451,0.056610596,36,-45.86791992,82.70263672,0.00205,9.552001953,16,1.724023275,0.892150879,RS,
122,OLL27.1,16,P14-P18,V1,Pyramidal,Pyr,5,-58.70006248,213.5040354,0.093619431,21,-32.59277344,83.40454102,0.0016,8.056640625,30,1.251189343,9.557525635,RS_Ih,X
123,OLL27.5,16,P14-P18,V1,Pyramidal,Pyr,23,-69.09794724,287.3616197,0.503282998,15,-31.92138672,77.20947266,0.00165,10.28442383,18,1.64995958,3.818786621,RS,
124,OLL27.6,16,P14-P18,V1,Pyramidal,Pyr,4,-75.17294084,417.2766567,0.440284834,6.381981982,-40.55786133,61.18774414,0.0019,12.54272461,14,1.552686671,5.496398926,RS,
125,OLL28.1,7,P5-P8,V1,Pyramidal,Pyr,6,-57.82446289,1551.486816,0.164854707,10,-31.43310547,56.27441406,0.00395,0.335693359,22,1.329196604,0.455383301,RS,
126,OLL28.2,7,P5-P8,V1,Pyramidal,Pyr,6,-61.00310974,1513.425293,-0.732054029,33.72727273,-23.55957031,37.75024414,0.00275,18.79882813,24,0.405330564,3.716522217,RS_Stuterring,
127,OLL28.3,7,P5-P8,V1,Pyramidal,Pyr,5,-64.52099708,395.5821536,0.050419397,6.167741935,-35.24780273,71.59423828,0.0049,-15.13671875,24,1.311631061,5.013641357,RS_Ih,
128,OLL28.4,7,P5-P8,V1,Pyramidal,Pyr,4,-62.0334727,937.0325724,0.092508157,9.487012987,-33.63037109,55.72509766,0.0026,9.704589844,24,1.203442879,1.19140625,RS,
129,OLL28.5,7,P5-P8,V1,Pyramidal,Pyr,6,-55.73278605,887.7982585,0.050703654,5.812121212,-29.35791016,54.38232422,0.00295,6.134033203,28,1.275043428,8.188201904,RS_Ih,
130,OLL28.6,7,P5-P8,V1,Pyramidal,Pyr,6,-58.96584676,760.9359834,0.078565913,36,-28.83911133,52.91748047,0.00215,13.3972168,34,0.879130828,3.905700684,RS_Ih_Stuttering,
131,OLL28.7,7,P5-P8,V1,Pyramidal,Pyr,4,-66.97735954,838.4697768,0.073451832,10,-35.76660156,62.2253418,0.00255,7.659912109,34,1.19733751,3.88293457,RS,
132,OLL28.8,7,P5-P8,V1,Pyramidal,SPN,6,-60.83438416,660.2993774,0.077229381,7,-36.16333008,63.90380859,0.0022,10.43701172,28,1.020308692,2.394226074,RS,
133,OLL29.1,11,P9-P13,V1,Pyramidal,Pyr,5,-68.18127648,312.6485043,0.044278292,10,-43.64013672,76.11083984,0.00275,2.960205078,46,1.27264239,6.970550537,RS_Ih,
